LIST OF STRUCTURAL ATTRIBUTES (SA) AND THEIR CORRELATION WEIGHTS


The total number of SMILES: in train set NsmsTRN=  29  in calibration set NsmsCLB=   7 Nact=124 NactSFk=124

SMILES is used  in the model
ID is number of SA in the completed list of SAs
N1 is the number of SMILES in training set with SA
N2 is the number of SMILES in invisible training set with SA
N3 is the number of SMILES in calibration set with SA

The number of SMILES in training set is 29
The number of SMILES in calibration set is 7

TRN++ : how many times attribute is placed in structures
of the training set where endpoint higher than middle.
TRN-- : how many times attribute is placed in structures
of the training set where endpoint lower than middle.

iTRN++, iTRN--, CLB++, and CLB-- are the analogical data
for invisible training set and calibration set.

 SAk        : CW(SAk)    :        ID  :        N1  :        N2  :        N3  : DEFECT[SAk]: TRN++      : TRN--      : iTRN++     : iTRN--     : CALIB++    : CALIB--    :
HALO11000000:         0.0:         122:           0:           2:           0:      0.0000:           0:           0:           0:           2:           0:           0:
N...#.......:     0.20056:         123:           5:           0:           1:      0.0049:           1:           4:           0:           0:           0:           1:
N...#...C...:     0.12754:         124:           5:           0:           1:      0.0049:           1:           4:           0:           0:           0:           1:
N...(.......:     0.53928:         125:           7:           4:           3:      0.0187:           1:           6:           1:           3:           1:           2:
N...(...2...:         0.0:         126:           0:           2:           0:      0.0000:           0:           0:           0:           2:           0:           0:
N...(...C...:     0.80376:         127:           7:           3:           2:      0.0049:           1:           6:           1:           2:           1:           1:
N...(...N...:         0.0:         128:           0:           1:           0:      0.0000:           0:           0:           0:           1:           0:           0:
N...........:     0.18228:         129:          29:          29:           7:      0.0000:           8:          21:           8:          21:           1:           6:
N...2...(...:     0.22536:         130:          17:          11:           1:      0.0246:           3:          14:           1:          10:           0:           1:
N...2.......:     0.02606:         131:          17:          11:           1:      0.0246:           3:          14:           1:          10:           0:           1:
N...=...(...:     0.15571:         132:          17:          11:           1:      0.0246:           3:          14:           1:          10:           0:           1:
N...=.......:     0.27008:         133:          17:          11:           1:      0.0246:           3:          14:           1:          10:           0:           1:
N...C...(...:         0.0:         134:           0:           1:           0:      0.0000:           0:           0:           0:           1:           0:           0:
N...C.......:    -0.07809:         135:          12:          19:           6:      0.0246:           5:           7:           7:          12:           1:           5:
N...C...1...:         0.0:         136:           2:           2:           1:      0.0000:           0:           2:           1:           1:           1:           0:
N...C...2...:     0.42097:         137:           8:          15:           3:      0.0139:           4:           4:           6:           9:           0:           3:
N...C...=...:     1.59811:         138:           8:          15:           3:      0.0139:           4:           4:           6:           9:           0:           3:
N...C...C...:         0.0:         139:           2:           1:           2:      0.0000:           1:           1:           0:           1:           0:           2:
N...S...(...:         0.0:         140:           2:           1:           2:      0.0000:           1:           1:           0:           1:           0:           2:
O...(...(...:         0.0:         141:           2:           1:           2:      0.0000:           1:           1:           0:           1:           0:           2:
O...(.......:     0.02651:         142:          14:          21:           7:      0.0246:           5:           9:           4:          17:           1:           6:
O...(.../...:     3.10178:         143:           6:           6:           1:      0.0091:           2:           4:           0:           6:           0:           1:
O...(...1...:         0.0:         144:           3:           7:           4:      0.0000:           1:           2:           1:           6:           0:           4:
O...(...2...:         0.0:         145:           1:           5:           2:      0.0000:           1:           0:           0:           5:           0:           2:
O...(...C...:     0.29599:         146:           5:           9:           3:      0.0320:           2:           3:           1:           8:           1:           2:
O...(...N...:         0.0:         147:           0:           0:           1:      0.0000:           0:           0:           0:           0:           0:           1:
O...(...O...:         0.0:         148:           2:           4:           1:      0.0000:           0:           2:           1:           3:           1:           0:
O...........:     0.00482:         149:          25:          25:           7:      0.0043:           6:          19:           5:          20:           1:           6:
O...=...(...:     0.04723:         150:           8:          10:           3:      0.0139:           4:           4:           3:           7:           1:           2:
O...=.......:    -0.23383:         151:           8:          10:           3:      0.0139:           4:           4:           3:           7:           1:           2:
O...=...1...:         0.0:         152:           2:           2:           1:      0.0000:           0:           2:           1:           1:           1:           0:
O...C...(...:         0.0:         153:           2:           9:           2:      0.0000:           1:           1:           0:           9:           0:           2:
O...C.......:    -0.30680:         154:          16:          17:           4:      0.0010:           2:          14:           3:          14:           1:           3:
O...C...1...:         0.0:         155:           1:           0:           0:      0.0000:           0:           1:           0:           0:           0:           0:
O...C...C...:         0.0:         156:           3:           2:           1:      0.0000:           0:           3:           1:           1:           1:           0:
O...\...N...:     1.26469:         157:          17:          11:           1:      0.0246:           3:          14:           1:          10:           0:           1:
O...c...(...:         0.0:         158:           0:           1:           0:      0.0000:           0:           0:           0:           1:           0:           0:
O...c...1...:         0.0:         159:           0:           1:           0:      0.0000:           0:           0:           0:           1:           0:           0:
NOSP10000000:     2.14299:         160:           4:           4:           0:      1.0000:           2:           2:           3:           1:           0:           0:
NOSP11000000:    -0.27893:         161:          23:          24:           5:      0.0028:           5:          18:           5:          19:           1:           4:
NOSP11100000:         0.0:         162:           2:           1:           2:      0.0000:           1:           1:           0:           1:           0:           2:
S...(.......:         0.0:         163:           2:           1:           2:      0.0000:           1:           1:           0:           1:           0:           2:
S...(...=...:         0.0:         164:           2:           1:           2:      0.0000:           1:           1:           0:           1:           0:           2:
S...........:         0.0:         165:           2:           1:           2:      0.0000:           1:           1:           0:           1:           0:           2:
S...N.......:         0.0:         166:           2:           1:           2:      0.0000:           1:           1:           0:           1:           0:           2:
S...N...C...:         0.0:         167:           2:           1:           2:      0.0000:           1:           1:           0:           1:           0:           2:
\...........:     1.40286:         168:          17:          11:           1:      0.0246:           3:          14:           1:          10:           0:           1:
\...N.......:    -0.08669:         169:          17:          11:           1:      0.0246:           3:          14:           1:          10:           0:           1:
\...N...=...:     0.40448:         170:          17:          11:           1:      0.0246:           3:          14:           1:          10:           0:           1:
\...O...(...:     3.47402:         171:           6:           6:           1:      0.0091:           2:           4:           0:           6:           0:           1:
\...O.......:    -0.37494:         172:          17:          11:           1:      0.0246:           3:          14:           1:          10:           0:           1:
\...O...C...:    -0.27528:         173:          11:           5:           0:      1.0000:           1:          10:           1:           4:           0:           0:
[N+]........:     0.04509:         174:           4:           5:           0:      1.0000:           3:           1:           2:           3:           0:           0:
[O-]........:     0.86256:         175:           4:           5:           0:      1.0000:           3:           1:           2:           3:           0:           0:
[O].........:         0.0:         176:           3:           5:           0:      0.0000:           2:           1:           2:           3:           0:           0:
[nH]........:    -0.08589:         177:          27:          27:           6:      0.0022:           8:          19:           7:          20:           0:           6:
c...(.......:    -0.05707:         178:          29:          29:           7:      0.0000:           8:          21:           8:          21:           1:           6:
c...(...1...:    -0.00096:         179:          12:          18:           5:      0.0177:           5:           7:           7:          11:           1:           4:
c...(...2...:     1.04490:         180:          25:          26:           5:      0.0049:           7:          18:           7:          19:           0:           5:
c...(...C...:    -0.56016:         181:          10:          16:           5:      0.0246:           5:           5:           6:          10:           0:           5:
c...(...F...:         0.0:         182:           1:           2:           0:      0.0000:           0:           1:           0:           2:           0:           0:
c...(...Br..:         0.0:         183:           1:           3:           0:      0.0000:           1:           0:           2:           1:           0:           0:
c...(...Cl..:         0.0:         184:           1:           1:           0:      0.0000:           1:           0:           0:           1:           0:           0:
c...(...N...:         0.0:         185:           3:           0:           1:      0.0000:           1:           2:           0:           0:           0:           1:
c...(...O...:         0.0:         186:           2:           1:           2:      0.0000:           1:           1:           0:           1:           0:           2:
c...(...S...:         0.0:         187:           0:           0:           1:      0.0000:           0:           0:           0:           0:           0:           1:
c...(...c...:    -0.21321:         188:          27:          29:           6:      0.0022:           8:          19:           8:          21:           1:           5:
c...........:     0.43686:         189:          29:          29:           7:      0.0000:           8:          21:           8:          21:           1:           6:
c...0.......:         0.0:         190:           1:           0:           0:      0.0000:           1:           0:           0:           0:           0:           0:
