This file contains the statistical classification of structural attributes (SA)



SMILES is used in the model
The classification is follows:
- if SA has CW(SA)>0 in all probes of the Monte Carlo optimization
then the SA is a promoter of the Endpoint increase (List 1)
- if SA has CW(SA)<0 in all probes of the Monte Carlo optimization
then the SA is a promoter of the Endpoint decrease (List 2)
- if SA has CW(SA)>0 together with CW(SA)<0 
then the role of SA is undefined (list 3)
- if SA is blocked, i.e., CW(SA)=0 
then the SA without of the model (list 4)

Each list is starting by No.=1, the ID is the numbering in total list of attributes.

N1, N2, and N3 are numbers of SMILES which contain SA 
in training, invisible training, and calibration sets, respectively

  No. :  ID : SAk        : CWs Probe 1: CWs Probe 2: CWs Probe 3:        N1  :        N2  :        N3  : Defect[SAk]:
    33:  208:c...O.......:    -0.20876:    -1.79438:    -0.92734:           1:           1:           0:      1.0000
     1:   20:(...........:    -0.51919:     0.04388:     0.33933:          29:          29:           7:      0.0000
     2:   37:1...........:    -0.41146:     1.27786:    -0.06053:          29:          29:           7:      0.0000
     3:   45:2...........:    -0.42004:    -0.37391:     0.09118:          29:          29:           7:      0.0000
     4:   54:=...........:     0.22392:    -0.29578:    -0.48682:          29:          29:           7:      0.0000
     5:   60:C...(.......:     0.15478:    -0.33513:    -0.44195:          29:          29:           7:      0.0000
     6:   66:C...........:    -0.19470:     1.08132:     1.37678:          29:          29:           7:      0.0000
     7:  127:N...........:    -0.34145:     0.69944:     1.13945:          29:          29:           7:      0.0000
     8:  176:c...(.......:    -0.28593:    -0.35439:     0.19941:          29:          29:           7:      0.0000
     9:  191:c...1.......:     1.24648:    -0.11943:     1.39990:          29:          29:           7:      0.0000
    10:  197:c...2.......:    -0.82684:     0.39651:    -0.83461:          29:          29:           7:      0.0000
    11:  199:c...2...c...:    -0.04765:     1.68275:     1.82982:          29:          29:           7:      0.0000
    12:  211:c...c.......:     0.14410:    -0.09535:     0.23421:          29:          29:           7:      0.0000
    13:  214:c...c...2...:    -0.07553:     0.63252:     2.20401:          29:          29:           7:      0.0000
    14:  147:O...........:     0.36296:    -0.08697:     0.22287:          28:          25:           5:      0.0076
    15:  213:c...c...1...:    -0.08503:     0.85187:    -0.34411:          28:          28:           7:      0.0010
    16:  186:c...(...c...:     0.87971:    -0.49018:    -0.20495:          27:          27:           7:      0.0020
    17:  210:c...c...(...:     0.27027:    -0.04233:     0.34401:          27:          27:           7:      0.0020
    18:  159:NOSP11000000:     0.13272:     0.92927:    -1.08017:          26:          24:           4:      0.0108
    19:   64:C...(...=...:     0.02517:    -0.16879:     0.96419:          25:          26:           6:      0.0002
    20:   31:/...........:     1.26607:     0.29792:    -0.26975:          17:          12:           3:      0.0079
    21:   67:C.../...(...:    -0.36112:     0.36047:     1.47287:          17:          12:           3:      0.0079
    22:   69:C.../...1...:    -0.27040:     0.08778:     1.92734:          17:          12:           3:      0.0079
    23:  129:N...2.......:     0.03296:     0.27723:    -0.23416:          17:          12:           3:      0.0079
    24:  131:N...=.......:    -0.50969:     0.15999:     1.64219:          17:          12:           3:      0.0079
    25:  155:O...\...N...:     0.00835:    -0.36268:     0.37635:          17:          12:           3:      0.0079
    26:  170:\...O.......:    -0.28242:     0.66061:     1.52840:          17:          12:           3:      0.0079
    27:  192:c...1.../...:    -0.55776:     1.17382:     0.03683:          17:          12:           3:      0.0079
    28:  115:HALO00000000:    -0.02330:    -0.19391:     1.14449:          15:          17:           5:      0.0099
    29:   48:2...c...(...:    -0.22413:    -0.03611:     0.02004:          14:          21:           4:      0.0049
    30:   75:C...2.......:     0.35843:    -0.29543:     1.06230:          14:          18:           4:      0.0049
    31:  133:N...C.......:     0.08559:    -0.58671:    -0.05815:          13:          17:           4:      0.0072
    32:   71:C...1.......:     1.44010:    -0.27821:     0.67700:          11:          16:           3:      0.0035
    33:   84:C...C...2...:     0.05661:    -0.54771:    -0.52993:          11:          14:           3:      0.0035
    34:   40:1...C...(...:     1.29226:     1.07873:    -0.45240:          10:          16:           3:      0.0064
    35:   55:=...1.......:     0.27237:    -0.06176:     1.33092:          10:          16:           3:      0.0064
    36:   72:C...1...=...:     1.36998:    -0.00042:     1.28214:          10:          16:           3:      0.0064
    37:   81:C...C...(...:     0.73629:     0.51272:    -0.33192:          10:          16:           3:      0.0064
    38:  217:c...n...(...:     0.23770:    -0.13247:    -0.40333:          10:          16:           3:      0.0064
    39:  219:n...(.......:    -0.06789:    -0.02615:     1.07597:          10:          16:           3:      0.0064
    40:  220:n...(...c...:     0.90967:    -0.47055:    -0.59854:          10:          16:           3:      0.0064
    41:   58:=...O...(...:     0.41290:    -0.15834:    -0.42144:           9:           9:           2:      0.0022
    42:   74:C...2...(...:     0.11298:    -0.31882:    -0.97420:           9:          14:           2:      0.0022
    43:   76:C...2...C...:     0.45760:    -0.74009:    -0.24308:           9:          14:           2:      0.0022
    44:   78:C...=.......:     0.97877:     1.14687:    -0.13864:           9:          14:           2:      0.0022
    45:   79:C...=...1...:     0.41277:    -0.58505:    -0.03452:           9:          14:           2:      0.0022
    46:   95:F...(.......:    -0.27407:    -0.20296:     0.13889:           9:           7:           1:      0.0167
    47:  135:N...C...2...:    -0.12621:     1.22006:    -0.29799:           9:          14:           2:      0.0022
    48:  136:N...C...=...:     1.00702:    -0.87946:     1.18041:           9:          14:           2:      0.0022
    49:  148:O...=...(...:    -0.26583:     0.56206:    -0.29847:           9:           9:           2:      0.0022
    50:  171:\...O...C...:    -0.98098:     0.68518:    -0.46808:           9:           6:           1:      0.0167
    51:  203:c...C.......:    -0.57052:    -0.49430:     0.94994:           9:           7:           3:      0.0099
    52:   23:(...F...(...:     0.15551:     0.66671:    -0.09714:           8:           5:           0:      1.0000
    53:  206:c...C...O...:    -0.42515:    -0.20988:     0.69640:           8:           5:           1:      0.0148
    54:   11:$10011001000:     0.15752:    -0.14557:    -0.72734:           7:           5:           0:      1.0000
    55:  144:O...(...C...:     0.23906:    -0.21359:    -0.07740:           6:           8:           2:      0.0099
    56:  103:Br..(.......:    -0.25180:     1.28694:     0.94865:           4:           3:           1:      0.0010
    57:  198:c...2...C...:     0.92859:    -0.55353:    -1.02138:           4:           2:           1:      0.0010
    58:    8:$10011000010:     0.72807:     1.13956:    -1.14851:           3:           1:           0:      1.0000
    59:   19:(...(.......:     0.89632:    -0.44164:     0.04763:           3:           2:           1:      0.0099
    60:   96:F...(.../...:     0.60317:    -1.02328:    -1.05773:           3:           1:           0:      1.0000
    61:  106:Br..(...Br..:    -0.54905:     0.90082:     1.23143:           3:           0:           1:      0.0099
    62:  174:[O].........:     0.13661:     0.45908:    -0.60140:           3:           5:           1:      0.0099
    63:   52:=...(...(...:    -0.20298:    -0.46634:     1.32619:           2:           1:           1:      0.0246
    64:   73:C...1...C...:     0.01174:    -0.54554:     0.09894:           2:           2:           1:      0.0246
    65:   83:C...C...1...:    -0.64201:     0.65420:    -0.59659:           2:           2:           1:      0.0246
    66:   87:C...N...(...:     0.01189:    -0.42411:    -1.36657:           2:           2:           2:      0.0542
    67:  124:N...(.......:    -0.23940:     0.93786:    -0.42783:           2:           7:           4:      0.0837
    68:  137:N...C...C...:    -0.50495:     1.28251:     0.10744:           2:           1:           1:      0.0246
    69:  138:N...S...(...:     1.97321:    -0.67588:     0.15907:           2:           1:           1:      0.0246
    70:  139:O...(...(...:    -0.16889:     1.58536:     0.10427:           2:           1:           1:      0.0246
    71:  146:O...(...O...:     0.97194:    -0.38356:     0.53626:           2:           3:           1:      0.0246
    72:  164:S...N.......:     2.05894:     0.12759:    -0.47023:           2:           1:           1:      0.0246
    73:  165:S...N...C...:     1.65346:    -0.00736:    -0.57965:           2:           1:           1:      0.0246
    74:   14:$10011100000:    -0.55375:     0.44985:    -0.82833:           1:           1:           1:      0.0542
    75:   94:F...(...(...:    -0.14325:     1.68962:     0.24430:           1:           1:           0:      1.0000
    76:  105:Br..(...C...:    -0.20146:    -0.33527:     1.36422:           1:           3:           0:      1.0000
    77:  112:Cl..(...F...:     0.06921:    -1.36293:    -2.54581:           1:           0:           0:      1.0000
    78:  180:c...(...F...:     0.08118:    -0.89681:    -0.57006:           1:           1:           0:      1.0000
    79:  181:c...(...Br..:     1.37128:    -0.34592:    -0.37847:           1:           3:           0:      1.0000
    80:  218:c...n...2...:    -0.94792:     1.02490:     1.57033:           1:           2:           1:      0.0542
    81:  223:n...2...C...:     0.69902:    -1.16378:     2.83360:           1:           2:           1:      0.0542
     1:    1:#...........:         0.0:         0.0:         0.0:           0:           5:           2:      0.0000
     2:    3:$10010000010:         0.0:         0.0:         0.0:           0:           1:           0:      0.0000
     3:    4:$10010000100:         0.0:         0.0:         0.0:           0:           1:           0:      0.0000
     4:    5:$10010001000:         0.0:         0.0:         0.0:           0:           1:           0:      0.0000
     5:    6:$10010001010:         0.0:         0.0:         0.0:           0:           1:           0:      0.0000
     6:   10:$10011000110:         0.0:         0.0:         0.0:           0:           0:           1:      0.0000
     7:   16:$11010000000:         0.0:         0.0:         0.0:           0:           0:           1:      0.0000
     8:   17:$11010001000:         0.0:         0.0:         0.0:           0:           0:           1:      0.0000
     9:   18:$11011000000:         0.0:         0.0:         0.0:           0:           5:           0:      0.0000
    10:   21:(...C...#...:         0.0:         0.0:         0.0:           0:           5:           2:      0.0000
    11:   26:(...N...#...:         0.0:         0.0:         0.0:           0:           5:           2:      0.0000
    12:   28:(...S...(...:         0.0:         0.0:         0.0:           0:           0:           1:      0.0000
    13:   33:0...........:         0.0:         0.0:         0.0:           0:           0:           1:      0.0000
    14:   34:0...1...(...:         0.0:         0.0:         0.0:           0:           0:           1:      0.0000
    15:   39:1...0.......:         0.0:         0.0:         0.0:           0:           0:           1:      0.0000
    16:   41:1...F...(...:         0.0:         0.0:         0.0:           0:           1:           0:      0.0000
    17:   42:1...Cl..(...:         0.0:         0.0:         0.0:           0:           1:           0:      0.0000
    18:   50:3...........:         0.0:         0.0:         0.0:           0:           0:           1:      0.0000
    19:   51:3...c...2...:         0.0:         0.0:         0.0:           0:           0:           1:      0.0000
